Age,Experience,Projects,HoursPerWeek,EducationYears,Department,EducationLevel,City,Salary
49.0,19.0,30.0,48.0,21.17105863001354,1,1,0,117583.30475024693
60.0,36.0,22.0,52.0,16.0,1,0,0,149581.39450063824
23.0,0.0,29.0,52.0,21.0,1,0,0,46209.0
23.00733268808763,14.007829073528312,13.0,76.0,15.0,2,3,3,50123.31535701241
61.17393591686464,33.0,34.0,34.0,16.0,0,0,2,141745.0
38.0,10.0,36.0,79.0,13.981338754230402,3,2,4,86316.0
39.0,15.0,5.0,56.0,13.307959914240206,0,0,3,84355.0
25.0,3.0,44.0,20.0,15.0,1,0,1,63703.0
46.0,18.0,4.459831432777846,56.0,15.0,3,2,2,86287.0
42.0,20.0,26.326858822668605,65.72461995642088,12.89894440033406,1,1,2,90828.0
20.235176450938496,0.0,32.0,31.0,21.0,1,0,0,52941.25060747792
29.0,1.0,42.0,44.0,12.0,0,3,4,45675.0
32.953940840484144,15.0,2.0,33.0,15.0,0,0,2,61865.0
34.0,5.0,17.0,20.0,21.0,3,2,3,50455.0
25.0,1.9323902427522006,13.154154250252937,57.0,13.429085937134417,2,2,3,59016.0
45.36064285693214,26.0,22.0,50.0,22.02604682173761,1,3,4,135353.0
30.0,4.0,15.0,72.0,21.0,1,1,4,71849.78008667701
56.0,30.326986297529324,44.0,80.0,18.0,0,0,1,132953.0
27.0,3.9936314653098925,3.0,52.0,16.0,1,3,3,52819.0
59.0,30.0,19.0,49.718882562481525,15.022073058685582,2,1,4,129025.0
56.0,33.0,18.0,33.0,15.0,2,0,3,132351.0
49.0,15.0,4.0,21.891732403895837,15.0,3,2,0,106928.0
29.652321744292877,6.0,24.0,28.0,18.0,3,0,0,55241.487598421205
22.0,0.0,23.0,64.0,16.0,2,0,0,59556.0
23.26812023233543,0.0,5.0,66.0,16.0,3,1,2,33256.0
49.0,19.555540764458527,22.0,67.0,13.03811980217966,1,2,3,89212.0
51.0,28.0,27.0,52.0,12.703592215140032,0,0,0,134051.0
45.0,17.0,38.0,20.0,21.0,2,0,2,109652.0
28.0,2.0,27.0,66.0,16.0,0,3,1,64185.22364679342
55.0,32.0,37.180414696670866,52.0,20.601403671916366,2,2,0,137842.03100750066
47.3237811606398,31.8602438844769,13.596388798770697,64.0,12.0,0,3,3,108480.0
44.0,17.68090151520273,10.603889513979235,63.0,21.0,1,1,3,104196.0
49.0,16.194761767341397,16.0,34.68318425683677,18.0,3,0,1,93163.0
34.0,6.0,15.0,57.0,16.30905876429111,1,1,4,66348.0
43.0,21.0,5.0,81.63252508075365,16.0,1,0,1,102095.0
38.0,13.0,27.0,44.0,21.0,0,2,0,90336.0
41.0,18.0,3.0,37.0,21.0,2,2,0,88686.0
40.0,17.65472974143323,42.0,27.859447427910165,18.0,0,1,2,100749.0
36.0,15.0,4.0,60.0,12.0,0,0,0,80064.0
35.80860871475251,21.0,44.0,32.0,15.0,0,0,4,122683.0
21.0,13.464603844903323,31.446549078392525,62.665836374542,12.0,1,1,3,53129.0
55.0,25.0,33.0,59.0,15.0,0,1,2,120610.0
45.0,21.0,29.0,49.0,15.0,2,3,0,112698.0
53.0,25.239309085855883,30.0,40.0,13.571419494373973,2,0,4,114639.0
45.0,15.0,20.0,54.0,16.0,3,0,3,110198.0
26.0,4.0,29.0,42.79020353230784,21.0,0,2,1,53670.0
39.73072647451656,11.0,31.158189926696064,71.0,11.826018206835167,1,2,3,86576.53522679381
28.61556366444405,0.0,34.0,73.0,18.0,0,0,4,60068.0
54.0,24.0,22.08772825046332,52.0,21.91707644740176,1,2,3,125117.0
51.55939879683423,20.0,21.94284518990528,74.0,15.0,3,3,5,103130.0
48.30232318915772,32.0,33.0,21.78185553078608,21.857989354678704,0,0,0,126890.0
54.0,26.0,34.85075196682477,71.0,21.0,2,3,2,137982.0
28.47457747974408,8.0,35.0,52.0,17.09910128678199,0,2,4,80264.0
52.0,28.0,22.0,47.0,18.0,3,0,4,124477.0
60.0,38.0,17.0,28.0,12.0,2,1,4,136616.0
21.0,0.0,21.0,66.0,16.0,1,3,2,54363.0
58.0,35.0,33.0,59.0,16.0,1,3,2,141869.07994189672
47.0,17.0,39.59985786924837,30.0,21.0,1,1,0,97583.0
59.380373043915796,31.0,14.267881360731463,78.0,16.0,1,2,0,127291.0
33.0,8.0,13.0,77.129874231315,12.0,1,1,3,77498.0
26.0,0.0,25.0,26.0,16.95259045345085,0,1,5,50588.0
22.0,0.0,14.607041437764423,55.79959645483835,16.0,3,0,0,54286.0
42.0,12.0,21.655704697778468,73.0,15.0,2,3,2,80366.0
24.36103421547978,0.0,40.0,52.0,21.0,0,1,4,54326.0
28.0,3.0,12.0,73.0,15.0,3,0,0,43799.0
29.0,0.0,5.0,69.86049880837037,13.505478189181279,3,3,1,42543.0
51.40531823202737,26.0,28.0,52.0,21.0,3,0,2,115332.0
32.0,4.0,30.0,43.0,14.305806974206222,0,1,0,55779.0
27.0,0.0,1.0,40.0,12.0,0,1,0,43406.0
42.0,16.0,18.0,78.0,12.0,1,0,4,87730.0
55.0,28.0,29.43523320685454,68.0,16.873423839811778,0,1,4,115831.0
42.0,16.0,31.0,47.45652151931825,12.0,3,0,3,87034.0
40.0,11.196004043185317,14.0,62.0,18.0,1,0,1,86345.0
52.0,27.0,45.0,27.0,18.0,2,0,0,120220.0
36.0,10.0,29.0,45.0,21.791700769181098,2,0,1,69053.0
27.0,1.0,22.0,38.16962274433391,16.0,0,0,1,57304.0
25.0,0.0,39.0,62.0,12.0,0,1,1,58788.0
31.0,2.0,35.0,59.0,21.0,2,3,1,65645.0
33.251760478464305,9.0,26.0,58.0,16.0,3,2,1,84386.0
38.0,8.0,19.0,62.0,14.957862423057776,2,0,4,76725.0
23.0,0.0,24.19827994649735,68.0,18.254951060414275,2,2,1,43713.0
58.0,31.0,5.275076874047113,69.14693588837666,15.0,0,3,3,119225.0
